date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:47:03	105199/105199	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202017%2023:47:02%20GMT	http://www.bing.com/images/search?q=Nail+Ridges+Vitamin+Deficiency&FORM=RESTAB	/Users/vikranth/Documents/healthy_nails_news/www.bing.com/images/search018a.html	(from http://www.bing.com/images/search?q=Deficiency+That+Causes+Nail+Ridges&FORM=RESTAB)
15:47:03	105594/105594	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202017%2023:47:03%20GMT	http://www.bing.com/images/search?q=Vertical+Ridges+in+Fingernails+Deficiency&FORM=RESTAB	/Users/vikranth/Documents/healthy_nails_news/www.bing.com/images/search16f5.html	(from http://www.bing.com/images/search?q=Deficiency+That+Causes+Nail+Ridges&FORM=RESTAB)
15:47:04	105042/105042	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202017%2023:47:03%20GMT	http://www.bing.com/images/search?q=Vitamins+for+Ridges+in+Fingernails&FORM=RESTAB	/Users/vikranth/Documents/healthy_nails_news/www.bing.com/images/searche6ec.html	(from http://www.bing.com/images/search?q=Deficiency+That+Causes+Nail+Ridges&FORM=RESTAB)
15:47:05	105218/105218	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202017%2023:47:04%20GMT	http://www.bing.com/images/search?q=Vitamin+Deficiency+Fingernails&FORM=RESTAB	/Users/vikranth/Documents/healthy_nails_news/www.bing.com/images/search77cd.html	(from http://www.bing.com/images/search?q=Deficiency+That+Causes+Nail+Ridges&FORM=RESTAB)
15:47:06	105043/105043	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202017%2023:47:06%20GMT	http://www.bing.com/images/search?q=Common+Causes+of+Nail+Ridges&FORM=RESTAB	/Users/vikranth/Documents/healthy_nails_news/www.bing.com/images/search7e75.html	(from http://www.bing.com/images/search?q=Deficiency+That+Causes+Nail+Ridges&FORM=RESTAB)
15:47:07	105178/105178	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202017%2023:47:05%20GMT	http://www.bing.com/images/search?q=Horizontal+Ridges+On+Fingernails+Deficiency&FORM=RESTAB	/Users/vikranth/Documents/healthy_nails_news/www.bing.com/images/search02bc.html	(from http://www.bing.com/images/search?q=Deficiency+That+Causes+Nail+Ridges&FORM=RESTAB)
15:47:08	104918/104918	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202017%2023:47:07%20GMT	http://www.bing.com/images/search?q=Why+Ridges+On+Fingernails+Vertical&FORM=RESTAB	/Users/vikranth/Documents/healthy_nails_news/www.bing.com/images/search683c.html	(from http://www.bing.com/images/search?q=Deficiency+That+Causes+Nail+Ridges&FORM=RESTAB)
15:47:09	104856/104856	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202017%2023:47:08%20GMT	http://www.bing.com/images/search?q=Nail+Vitamin+Deficiency+Symptoms&FORM=RESTAB	/Users/vikranth/Documents/healthy_nails_news/www.bing.com/images/search6246.html	(from http://www.bing.com/images/search?q=Deficiency+That+Causes+Nail+Ridges&FORM=RESTAB)
15:47:10	104289/104289	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202017%2023:47:09%20GMT	http://www.bing.com/images/search?q=Vertical+Nail+Ridges&FORM=RESTAB	/Users/vikranth/Documents/healthy_nails_news/www.bing.com/images/searchc5a2.html	(from http://www.bing.com/images/search?q=Deficiency+That+Causes+Nail+Ridges&FORM=RESTAB)
15:47:11	104829/104829	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202017%2023:47:10%20GMT	http://www.bing.com/images/search?q=Nail+Bed+Ridges&FORM=RESTAB	/Users/vikranth/Documents/healthy_nails_news/www.bing.com/images/searchb596.html	(from http://www.bing.com/images/search?q=Deficiency+That+Causes+Nail+Ridges&FORM=RESTAB)
15:47:15	15909/15909	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Oct%202012%2015:57:18%20GMT	http://www.whatcausesthis.com/wp-content/uploads/2011/10/fingernail-ridges2.jpg	/Users/vikranth/Documents/healthy_nails_news/www.whatcausesthis.com/wp-content/uploads/2011/10/fingernail-ridges2.jpg	(from http://www.bing.com/images/search?q=Deficiency+That+Causes+Nail+Ridges&FORM=RESTAB)
15:47:16	3835/3835	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Mar%202017%2023:47:15%20GMT	http://tse4.mm.bing.net/th?id=OIP.ZxIocivAGrk43IIbHpc86gEJEs&w=230&h=170&rs=1&pcl=dddddd&pid=1.1	/Users/vikranth/Documents/healthy_nails_news/tse4.mm.bing.net/th09b7.jpg	(from http://www.bing.com/images/search?q=Deficiency+That+Causes+Nail+Ridges&FORM=RESTAB)
15:47:20	357946/357946	---M--	200	added ('OK')	image/jpeg	etag:%2256d72075-5763a%22	http://www.aspca.org/sites/default/files/dog-care_common-dog-behavior-problems_dog-grooming-tips_main-image.jpg	/Users/vikranth/Documents/healthy_nails_news/www.aspca.org/sites/default/files/dog-care_common-dog-behavior-problems_dog-grooming-tips_main-image.jpg	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:47:21	5340/5340	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Mar%202017%2023:47:20%20GMT	http://tse2.mm.bing.net/th?id=OIP.M5FrfTF4dQAzi1fhqiRTwwEsD_&w=230&h=170&rs=1&pcl=dddddd&pid=1.1	/Users/vikranth/Documents/healthy_nails_news/tse2.mm.bing.net/th66a2.jpg	(from http://www.bing.com/images/search?q=Deficiency+That+Causes+Nail+Ridges&FORM=RESTAB)
15:47:23	6085/6085	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Mar%202017%2023:47:22%20GMT	http://photos2.demandstudios.com/DM-Resize/photos.demandstudios.com%2Fgetty%2Farticle%2F78%2F112%2F92829102_XS.jpg?w=400&h=10000&keep_ratio=1	/Users/vikranth/Documents/healthy_nails_news/photos2.demandstudios.com/DM-Resize/photos.demandstudios.com/getty/article/78/112/92829102_XSd971.jpg	(from http://www.bing.com/images/search?q=Deficiency+That+Causes+Nail+Ridges&FORM=RESTAB)
15:47:23	3303/3303	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Mar%202017%2023:47:22%20GMT	http://tse4.mm.bing.net/th?id=OIP.48a_YdLhBqSfzG8ZABxh6wEsDI&w=230&h=170&rs=1&pcl=dddddd&pid=1.1	/Users/vikranth/Documents/healthy_nails_news/tse4.mm.bing.net/thac4b.jpg	(from http://www.bing.com/images/search?q=Deficiency+That+Causes+Nail+Ridges&FORM=RESTAB)
